霜	孀 霜
霰	䨘 霰
霸	覇 霸
靈	霊 靈
青	靑 青
靜	靚 靜
靦	覥 靦
靴	鞾 靴
鞋	鞵 𩋘 鞋
鞍	鞌 鞍
鞘	韒 鞘
鞦	鞧 鞦
韁	繮 韁
韌	肕 靱 靭 韌
韜	弢 韜
韭	韮 韭
須	湏 須
預	豫 預
頒	朌 頒
頤	頣 頉 頤
頫	俯 頫
頰	頬 頰
頸	頚 頸
頹	頽 頹
額	頟 額
顎	齶 顎
顏	顔 顏
顛	顚 顛
顥	皓 皝 顥
顧	頋 顧
顯	顕 顯
顰	嚬 顰
顱	髗 顱
風	凨 風
颼	䬒 颼
飄	飃 飄
飢	饑 飢
飧	飱 飧
飪	餁 䏕 䭃 飪
飯	飰 飯
飲	飮 飲
飼	飤 飼
飾	餙 餝 飾
餅	餠 餅
餉	饟 餉
餒	餧 餒
餛	餫 餛
館	舘 館
餵	諉 餵
餽	饋 餽
饑	飢 饑
饞	嚵 饞
馱	駄 䭾 馱
駁	駮 駁
駝	駞 駝
駢	騈 駢
騙	騗 騙
騰	駦 騰
騷	騒 騷
騾	驘 騾
驗	騐 験 驗
驛	駅 驛
驢	馿 驢
髓	髄 膸 髓
體	躰 體
高	髙 高
髦	犛 氂 髦
髮	髪 髮
髯	髥 髯
髻	䯻 髻
鬃	騣 騌 鬃
鬢	鬂 鬢
鬣	巤 鬣
鬥	鬪 鬬 闘 鬦 鬭 鬥
鬧	閙 鬧
鬨	閧 鬨
鬱	欝 鬰 鬱
魂	䰟 魂
魏	巍 魏
魷	鰍 鰌 魷
鮮	鱻 鮮
鯊	魦 鯊
鯧	䱽 鯧
鰍	魷 鰌 鰍
鱉	龞 鼈 鱉
鱔	鱓 鱔
鱷	鰐 鱷
鳳	鳯 鳳
鴃	鵙 鴃
鴆	酖 鴆
鴉	鵶 鴉
鵝	鵞 鵝
鶯	鴬 鸎 鶯
鷗	鴎 鷗
鸞	鵉 鸞
鹼	鹸 堿 鹻 鹼
麓	梺 麓
麟	麐 麟
麴	麯 麴
麵	麪 麫 麵
麻	蔴 菻 麻
麼	庅 麼
黏	粘 黏
黑	黒 黑
默	嘿 黙 默
點	奌 點
鼇	鰲 鼇
鼓	皼 鼔 皷 鼓
鼠	鼡 鼠
齊	亝 斉 齊
